drive_time_more_than,jp_court,def_appeared,def_not_appeared
0,Court 1-1,7,13
0,Court 1-2,2,0
0,Court 5-1,20,43
0,Court 5-2,1,3
0,Court 3-1,0,1
0,Court 4-2,0,1
5,Court 1-1,57,121
5,Court 1-2,5,3
5,Court 2-1,2,7
5,Court 3-1,25,36
5,Court 3-2,6,9
5,Court 4-1,3,4
5,Court 5-1,39,71
5,Court 5-2,3,8
5,Court 4-2,0,2
10,Court 1-1,103,186
10,Court 1-2,9,10
10,Court 2-1,2,15
10,Court 3-1,76,141
10,Court 3-2,33,55
10,Court 4-1,6,8
10,Court 5-1,96,170
10,Court 5-2,7,10
10,Court 4-2,0,3
15,Court 1-1,55,136
15,Court 1-2,7,3
15,Court 2-1,11,21
15,Court 3-1,17,33
15,Court 3-2,4,4
15,Court 4-1,10,8
15,Court 4-2,2,6
15,Court 5-1,35,97
15,Court 5-2,1,4
